active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Zu,2795.95,46,1.0,2025-11-08,1,1.025,True
2,soc.from.ub.kodao,2787.3,63,1.0,2025-11-08,1,1.15,True
,Blumpo Gripliskin,2765.53,55,1.0,2025-10-26,14,1.05,False
3,btroitsk,2741.88,63,1.0,2025-11-07,2,1.025,True
4,N Prime,2741.7,64,1.0,2025-11-08,1,1.025,True
,Mubirobiro [BR],2729.64,42,1.0,2025-10-28,12,1.25,False
5,Quali,2724.09,83,1.0,2025-11-09,0,1.025,True
6,Rubens,2716.89,48,1.0,2025-11-09,0,1.025,True
,Bidderlyn,2706.7,62,1.0,2025-10-28,12,1.05,False
,Xrenoid,2688.2,59,1.0,2025-11-01,8,1.05,False
,maximeeepje,2661.95,38,1.0,2025-10-19,21,1.025,False
7,camoutbussin,2644.55,12,0.4,2025-11-07,2,1.25,True
8,S31gn3ur Chr3t13n,2629.63,72,1.0,2025-11-09,0,1.025,True
,Rosewood,2625.5,48,1.0,2025-10-08,32,1.025,False
,Miroko,2623.14,17,0.57,2025-10-14,26,1.025,False
9,Covert Skeleton,2575.69,49,1.0,2025-11-08,1,1.05,True
,群傻搬象Sesquipedalianism,2569.97,7,0.23,2025-08-13,88,1.025,False
,Kozlak,2527.86,35,1.0,2025-10-09,31,1.1,False
,Ghost,2503.68,59,1.0,2025-10-19,21,1.175,False
10,elmrealm,2497.11,34,1.0,2025-11-08,1,1.05,True
,Madnukin,2493.86,18,0.6,2025-08-17,84,1.025,False
11,TheHunter222,2485.47,21,0.7,2025-11-06,3,1.25,True
12,jax,2485.24,43,1.0,2025-11-03,6,1.1,True
13,Dreamweaver,2442.1,30,1.0,2025-11-09,0,1.075,True
14,Madok,2441.43,9,0.3,2025-11-08,1,1.1,True
15,Alvarin,2377.27,63,1.0,2025-11-08,1,1.025,True
16,Zap,2347.33,16,0.53,2025-11-09,0,1.025,True
,Spirit,2273.81,6,0.2,2025-10-08,32,1.05,False
,Dopamine,2261.06,9,0.3,2025-08-16,85,1.075,False
,Hakon,2229.93,14,0.47,2025-09-11,59,1.025,False
,Skoops!,2216.75,28,0.93,2025-09-08,62,1.05,False
,Sigmar Male,2199.98,7,0.23,2025-10-29,11,1.25,False
17,slaaneshtgof,2182.89,16,0.53,2025-11-09,0,1.025,True
,Ernesto Quesidala Bombo,2176.17,4,0.13,2025-08-05,96,1.025,False
18,bullzebub,2164.05,9,0.3,2025-11-07,2,1.025,True
19,blankE,2159.67,51,1.0,2025-11-09,0,1.025,True
,ClownAunt,2119.08,5,0.17,2025-08-01,100,1.05,False
20,smola_2005,2113.59,32,1.0,2025-11-07,2,1.05,True
,kaltepfote,2112.43,32,1.0,2025-10-19,21,1.125,False
,StoryEdge,2102.49,2,0.07,2025-08-05,96,1.025,False
,Yngvi,2089.55,23,0.77,2025-10-17,23,1.025,False
21,Odin_Gr,2087.44,3,0.1,2025-11-09,0,1.05,True
,IndieLoupe.com,2084.81,5,0.17,2025-10-28,12,1.075,False
22,MythalJedi,2068.69,8,0.27,2025-11-06,3,1.025,True
,MindsEye,2052.76,4,0.13,2025-08-04,97,1.025,False
